Benchmark,InputData,Data,DataID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap
cfd,097K,h_elements_surrounding_elements,1,cuda_time_step,858544303.8,60.96,16131,1270938818.57,60.96,12640,19.78,11976.16,4.73,13.94,0.25,0.19,0.25,6.35,6.35,535903797468.35,19.78,60.96,31.29,4.49,0.0,8.23,0.11,93.49,1,0.07,6.51,30.78,32.0,128.16,126.39,126.39,749.51,239844,760.0,243200,192,506,22,0,0,0,97152,0.63,32,14,32,10,34.05,53.21,60,93.75,111,0x20006005ee00,0x2000601da600,1554432,10,51,1664.0,0.0,0.0
cfd,097K,h_normals,2,cuda_time_step,858544303.8,60.96,16131,1270938818.57,60.96,12640,19.78,11976.16,4.73,13.94,0.25,0.19,0.25,6.35,6.35,535903797468.35,19.78,60.96,31.29,4.49,0.0,8.23,0.11,93.49,1,0.07,6.51,30.78,32.0,128.16,126.39,126.39,749.51,239844,760.0,243200,192,506,22,0,0,0,97152,0.63,32,14,32,10,34.05,53.21,60,93.75,111,0x200060200000,0x200060672800,4663296,33,337,4608.0,0.0,0.0
cfd,097K,h_areas,0,cuda_compute_step_factor,785031847.13,40.04,11679,1157394506.37,40.04,10048,11.97,7996.73,15.28,11.39,0.88,0.6,0.89,22.22,22.22,321878980891.72,11.97,40.04,14.39,4.71,0.0,7.76,0.39,77.03,1,0.23,22.97,27.03,28.96,34.14,33.77,33.77,1757.97,562552,1777.05,568655,192,506,20,0,0,0,97152,0.63,32,14,32,10,30.5,47.66,60,93.75,111,0x200060000000,0x20006005ee00,388608,3,674,384.0,0.0,0.0
cfd,097K,h_elements_surrounding_elements,1,cuda_compute_step_factor,785031847.13,40.04,11679,1157394506.37,40.04,10048,11.97,7996.73,15.28,11.39,0.88,0.6,0.89,22.22,22.22,321878980891.72,11.97,40.04,14.39,4.71,0.0,7.76,0.39,77.03,1,0.23,22.97,27.03,28.96,34.14,33.77,33.77,1757.97,562552,1777.05,568655,192,506,20,0,0,0,97152,0.63,32,14,32,10,30.5,47.66,60,93.75,111,0x20006005ee00,0x2000601da600,1554432,10,51,1664.0,0.0,0.0
cfd,097K,h_normals,2,cuda_compute_step_factor,785031847.13,40.04,11679,1157394506.37,40.04,10048,11.97,7996.73,15.28,11.39,0.88,0.6,0.89,22.22,22.22,321878980891.72,11.97,40.04,14.39,4.71,0.0,7.76,0.39,77.03,1,0.23,22.97,27.03,28.96,34.14,33.77,33.77,1757.97,562552,1777.05,568655,192,506,20,0,0,0,97152,0.63,32,14,32,10,30.5,47.66,60,93.75,111,0x200060200000,0x200060672800,4663296,33,337,4608.0,0.0,0.0
cfd,097K,h_areas,0,cuda_compute_flux,890731292.52,34.46,49528,1310188137.76,34.46,37632,30.78,35916.03,21.66,30.14,1.19,0.86,1.19,29.73,29.73,314305272108.84,30.78,34.46,72.2,5.39,28.46,6.05,0.47,70.35,1,0.3,29.65,27.83,29.01,20.46,20.39,20.39,10642.23,3405515,10678.19,3417022,192,506,58,0,0,0,97152,1.27,32,5,32,10,24.5,38.29,30,46.88,111,0x200060000000,0x20006005ee00,388608,3,674,384.0,0.0,0.0
cfd,097K,h_elements_surrounding_elements,1,cuda_compute_flux,890731292.52,34.46,49528,1310188137.76,34.46,37632,30.78,35916.03,21.66,30.14,1.19,0.86,1.19,29.73,29.73,314305272108.84,30.78,34.46,72.2,5.39,28.46,6.05,0.47,70.35,1,0.3,29.65,27.83,29.01,20.46,20.39,20.39,10642.23,3405515,10678.19,3417022,192,506,58,0,0,0,97152,1.27,32,5,32,10,24.5,38.29,30,46.88,111,0x20006005ee00,0x2000601da600,1554432,10,51,1664.0,0.0,0.0
cfd,097K,h_normals,2,cuda_compute_flux,890731292.52,34.46,49528,1310188137.76,34.46,37632,30.78,35916.03,21.66,30.14,1.19,0.86,1.19,29.73,29.73,314305272108.84,30.78,34.46,72.2,5.39,28.46,6.05,0.47,70.35,1,0.3,29.65,27.83,29.01,20.46,20.39,20.39,10642.23,3405515,10678.19,3417022,192,506,58,0,0,0,97152,1.27,32,5,32,10,24.5,38.29,30,46.88,111,0x200060200000,0x200060672800,4663296,33,337,4608.0,0.0,0.0
cfd,097K,h_areas,0,cuda_time_step,878797468.35,59.67,16528,1301463607.59,59.67,12640,19.34,11601.9,4.62,14.39,0.26,0.18,0.26,6.55,6.55,537007594936.71,19.34,59.67,31.29,4.38,0.0,8.54,0.11,93.36,1,0.07,6.64,30.78,32.0,130.44,128.62,128.62,749.51,239844,760.1,243233,192,506,22,0,0,0,97152,0.63,32,14,32,10,34.15,53.36,60,93.75,111,0x200060000000,0x20006005ee00,388608,3,674,384.0,0.0,0.0
cfd,097K,h_elements_surrounding_elements,1,cuda_time_step,878797468.35,59.67,16528,1301463607.59,59.67,12640,19.34,11601.9,4.62,14.39,0.26,0.18,0.26,6.55,6.55,537007594936.71,19.34,59.67,31.29,4.38,0.0,8.54,0.11,93.36,1,0.07,6.64,30.78,32.0,130.44,128.62,128.62,749.51,239844,760.1,243233,192,506,22,0,0,0,97152,0.63,32,14,32,10,34.15,53.36,60,93.75,111,0x20006005ee00,0x2000601da600,1554432,10,51,1664.0,0.0,0.0
