==79074== NVPROF is profiling process 79074, command: ./lassen-executable/hotspot_11 1024 2 2 ../../data/hotspot/temp_1024 ../../data/hotspot/power_1024 output.out
==79074== Profiling application: ./lassen-executable/hotspot_11 1024 2 2 ../../data/hotspot/temp_1024 ../../data/hotspot/power_1024 output.out
WG size of kernel = 16 X 16
alloc FilesavingTemp
Number of allocated Data = 1
in api range: 0x200060000000 0x200060400000
alloc FilesavingPower
Number of allocated Data = 2
in api range: 0x200060400000 0x200060800000
pyramidHeight: 2
gridSize: [1024, 1024]
border:[2, 2]
blockGrid:[86, 86]
targetBlock:[12, 12]
Number of allocated Data = 3
in api range: 0x200060800000 0x200060c00000
Start computing the transient temperature
Ending simulation
removing 0 1
==79074== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
1.38471s  3.5520us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060200000  [Unified Memory Memcpy HtoD]
1.38478s  3.5840us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060600000  [Unified Memory Memcpy HtoD]
1.38484s  232.42us                    -               -         -         -         -  Tesla V100-SXM2         -         -                   146   0x200060210000  [Unified Memory GPU page faults]
1.38499s  3.9360us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060210000  [Unified Memory Memcpy HtoD]
1.38506s  3.8720us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060610000  [Unified Memory Memcpy HtoD]
1.38508s  242.24us                    -               -         -         -         -  Tesla V100-SXM2         -         -                   155   0x200060220000  [Unified Memory GPU page faults]
1.38523s  3.8720us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060220000  [Unified Memory Memcpy HtoD]
1.38524s  3.9040us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060230000  [Unified Memory Memcpy HtoD]
1.38530s  3.8080us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060620000  [Unified Memory Memcpy HtoD]
1.38531s  3.9680us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060630000  [Unified Memory Memcpy HtoD]
1.38532s  315.26us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    78   0x200060240000  [Unified Memory GPU page faults]
1.38546s  3.8720us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060240000  [Unified Memory Memcpy HtoD]
1.38547s  5.9840us                    -               -         -         -         -  Tesla V100-SXM2         -         -          192.000000KB   0x200060250000  [Unified Memory Memcpy HtoD]
1.38553s  3.8720us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060640000  [Unified Memory Memcpy HtoD]
1.38553s  6.6560us                    -               -         -         -         -  Tesla V100-SXM2         -         -          192.000000KB   0x200060650000  [Unified Memory Memcpy HtoD]
1.38564s  148.32us                    -               -         -         -         -  Tesla V100-SXM2         -         -                   211   0x200060a20000  [Unified Memory GPU page faults]
1.38579s  287.49us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    24   0x200060280000  [Unified Memory GPU page faults]
1.38592s  3.7760us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060280000  [Unified Memory Memcpy HtoD]
1.38592s  10.112us                    -               -         -         -         -  Tesla V100-SXM2         -         -          448.000000KB   0x200060290000  [Unified Memory Memcpy HtoD]
1.38598s  4.0960us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060680000  [Unified Memory Memcpy HtoD]
1.38598s  10.944us                    -               -         -         -         -  Tesla V100-SXM2         -         -          448.000000KB   0x200060690000  [Unified Memory Memcpy HtoD]
1.38608s  107.90us                    -               -         -         -         -  Tesla V100-SXM2         -         -                   130   0x200060a80000  [Unified Memory GPU page faults]
1.38620s  179.23us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    16   0x200060300000  [Unified Memory GPU page faults]
1.38627s  3.9680us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060300000  [Unified Memory Memcpy HtoD]
1.38628s  17.184us                    -               -         -         -         -  Tesla V100-SXM2         -         -          960.000000KB   0x200060310000  [Unified Memory Memcpy HtoD]
1.38634s  3.9680us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060700000  [Unified Memory Memcpy HtoD]
1.38635s  19.296us                    -               -         -         -         -  Tesla V100-SXM2         -         -          960.000000KB   0x200060710000  [Unified Memory Memcpy HtoD]
1.38638s  90.880us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    72   0x200060b00000  [Unified Memory GPU page faults]
1.39287s  3.2960us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060810000  [Unified Memory Memcpy DtoH]
1.39289s         -                    -               -         -         -         -                -         -         -         PC 0x10003da0   0x200060810000  [Unified Memory CPU page faults]
1.40185s  3.3280us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060820000  [Unified Memory Memcpy DtoH]
1.40185s  3.7440us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060830000  [Unified Memory Memcpy DtoH]
1.40187s         -                    -               -         -         -         -                -         -         -         PC 0x10003da0   0x200060820000  [Unified Memory CPU page faults]
1.42002s  3.4240us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060840000  [Unified Memory Memcpy DtoH]
1.42003s  5.2480us                    -               -         -         -         -  Tesla V100-SXM2         -         -          192.000000KB   0x200060850000  [Unified Memory Memcpy DtoH]
1.42004s         -                    -               -         -         -         -                -         -         -         PC 0x10003da0   0x200060840000  [Unified Memory CPU page faults]
1.45539s  3.3280us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060880000  [Unified Memory Memcpy DtoH]
1.45540s  9.6640us                    -               -         -         -         -  Tesla V100-SXM2         -         -          448.000000KB   0x200060890000  [Unified Memory Memcpy DtoH]
1.45541s         -                    -               -         -         -         -                -         -         -         PC 0x10003da0   0x200060880000  [Unified Memory CPU page faults]
1.52625s  3.3600us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060900000  [Unified Memory Memcpy DtoH]
1.52625s  16.992us                    -               -         -         -         -  Tesla V100-SXM2         -         -          960.000000KB   0x200060910000  [Unified Memory Memcpy DtoH]
1.52626s         -                    -               -         -         -         -                -         -         -         PC 0x10003da0   0x200060900000  [Unified Memory CPU page faults]
1.66784s  3.5520us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060a00000  [Unified Memory Memcpy DtoH]
1.66785s         -                    -               -         -         -         -                -         -         -         PC 0x10003da0   0x200060a00000  [Unified Memory CPU page faults]
