kernel,InputData,advise0,advise1,advise2,advise3,advise4,advise5,variant,TimePerc,Time,calls,AVG,MIN,MAX
Kernel,graph1MW.6,0,4,0,0,0,0,40000,34,3.921935,12,0.326827,0.115134,0.966508
Kernel,graph1MW.6,6,1,3,1,0,0,613100,43.07,3.924464,12,0.327038,6.27E-03,1.255239
Kernel,graph1MW.6,6,6,1,3,0,0,661300,45.66,3.927963,12,0.32733,6.11E-03,1.265097
Kernel,graph1MW.6,3,6,6,3,0,0,366300,46.07,3.932075,12,0.327672,6.11E-03,1.285445
Kernel,graph1MW.6,3,0,3,1,0,0,303100,44.4,3.935087,12,0.327923,6.14E-03,1.205799
Kernel,graph1MW.6,3,6,6,6,0,0,366600,45.71,3.935614,12,0.327967,6.14E-03,1.276767
Kernel,graph1MW.6,1,3,3,1,0,0,133100,46.18,3.949696,12,0.329141,6.14E-03,1.2832
Kernel,graph1MW.6,2,6,3,1,0,0,263100,45.92,3.953946,12,0.329495,6.37E-03,1.212606
Kernel,graph1MW.6,1,6,6,3,0,0,166300,44.85,3.958605,12,0.329883,6.34E-03,1.235495
Kernel,graph1MW.6,1,1,1,3,0,0,111300,48.2,3.961726,12,0.330143,6.11E-03,1.178976
Kernel,graph1MW.6,6,1,6,3,0,0,616300,45.21,3.962687,12,0.330223,6.14E-03,1.285984
Kernel,graph1MW.6,3,3,3,6,0,0,333600,46.01,3.965408,12,0.33045,6.14E-03,1.262304
Kernel,graph1MW.6,6,3,3,6,0,0,633600,46.26,3.971088,12,0.330924,6.18E-03,1.259175
Kernel,graph1MW.6,6,1,0,3,0,0,610300,49.26,3.972257,12,0.331021,6.11E-03,1.217792
Kernel,graph1MW.6,2,6,1,0,0,0,261000,42.56,3.973149,12,0.331095,6.24E-03,1.294239
Kernel,graph1MW.6,2,6,3,3,0,0,263300,44.31,3.975935,12,0.331327,6.30E-03,1.099392
