Benchmark,InputData,Data,DataID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap,label
gaussian,880,a,0,Fan1,733727810.7,6.43,5951,1100036982,6.43,5408,0.88,66.54,0.08,52.47,0.27,0,0.28,6.97,6.97,48301775148,0.63,6.43,50.92,0.08,1.46,3.2,0.11,92.66,1,0.07,7.34,28.89,31.48,45.86,43.64,43.64,4.41,1412,4.64,1484,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.38,19.35,64,100,111,0x200060000000,0x2000602f4400,3097600,22,34,3072,3072,0,0
gaussian,880,b,1,Fan1,733727810.7,6.43,5951,1100036982,6.43,5408,0.88,66.54,0.08,52.47,0.27,0,0.28,6.97,6.97,48301775148,0.63,6.43,50.92,0.08,1.46,3.2,0.11,92.66,1,0.07,7.34,28.89,31.48,45.86,43.64,43.64,4.41,1412,4.64,1484,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.38,19.35,64,100,111,0x200060400000,0x200060400dc0,3520,2,232,64,64,0,0
gaussian,880,m,2,Fan1,733727810.7,6.43,5951,1100036982,6.43,5408,0.88,66.54,0.08,52.47,0.27,0,0.28,6.97,6.97,48301775148,0.63,6.43,50.92,0.08,1.46,3.2,0.11,92.66,1,0.07,7.34,28.89,31.48,45.86,43.64,43.64,4.41,1412,4.64,1484,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.38,19.35,64,100,111,0x200060600000,0x2000608f4400,3097600,11,44,3072,0,0,0
gaussian,880,a,0,Fan2,870060790.3,9.5,109542,1299162551,12.7,84224,12.7,83132.98,4.57,12.48,0.24,0.18,0.24,6.02,6.02,84626519757,12.7,12.53,92.09,3.88,52.78,1.55,0.08,91.99,1,0.08,8.01,14.48,15.93,19.42,19.4,19.4,4997.44,1599180,5003.33,1601066,16,48400,16,0,0,0,774400,18.91,32,128,32,64,4.67,7.3,32,50,111,0x200060000000,0x2000602f4400,3097600,22,34,3072,3072,0,6
gaussian,880,b,1,Fan2,870060790.3,9.5,109542,1299162551,12.7,84224,12.7,83132.98,4.57,12.48,0.24,0.18,0.24,6.02,6.02,84626519757,12.7,12.53,92.09,3.88,52.78,1.55,0.08,91.99,1,0.08,8.01,14.48,15.93,19.42,19.4,19.4,4997.44,1599180,5003.33,1601066,16,48400,16,0,0,0,774400,18.91,32,128,32,64,4.67,7.3,32,50,111,0x200060400000,0x200060400dc0,3520,2,232,64,64,0,4
gaussian,880,m,2,Fan2,870060790.3,9.5,109542,1299162551,12.7,84224,12.7,83132.98,4.57,12.48,0.24,0.18,0.24,6.02,6.02,84626519757,12.7,12.53,92.09,3.88,52.78,1.55,0.08,91.99,1,0.08,8.01,14.48,15.93,19.42,19.4,19.4,4997.44,1599180,5003.33,1601066,16,48400,16,0,0,0,774400,18.91,32,128,32,64,4.67,7.3,32,50,111,0x200060600000,0x2000608f4400,3097600,11,44,3072,0,0,5
gaussian,880,a,0,Fan1,751461988.3,6.23,6189,1130695663,6.23,5472,0.84,68.25,0.08,51.1,0.26,0,0.27,6.79,6.79,47935672515,0.61,6.23,50.92,0.08,1.46,3.34,0.11,92.71,1,0.07,7.29,28.86,31.45,48.21,45.87,45.87,4.41,1412,4.64,1484,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.24,19.13,64,100,111,0x200060000000,0x2000602f4400,3097600,22,34,3072,3072,0,0
gaussian,880,b,1,Fan1,751461988.3,6.23,6189,1130695663,6.23,5472,0.84,68.25,0.08,51.1,0.26,0,0.27,6.79,6.79,47935672515,0.61,6.23,50.92,0.08,1.46,3.34,0.11,92.71,1,0.07,7.29,28.86,31.45,48.21,45.87,45.87,4.41,1412,4.64,1484,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.24,19.13,64,100,111,0x200060400000,0x200060400dc0,3520,2,232,64,64,0,0
gaussian,880,m,2,Fan1,751461988.3,6.23,6189,1130695663,6.23,5472,0.84,68.25,0.08,51.1,0.26,0,0.27,6.79,6.79,47935672515,0.61,6.23,50.92,0.08,1.46,3.34,0.11,92.71,1,0.07,7.29,28.86,31.45,48.21,45.87,45.87,4.41,1412,4.64,1484,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.24,19.13,64,100,111,0x200060600000,0x2000608f4400,3097600,11,44,3072,0,0,0
gaussian,880,a,0,Fan2,868411073.2,9.45,109492,1296217292,12.53,84384,12.53,85003.27,4.56,12.18,0.23,0.18,0.23,5.87,5.87,84070913917,11.56,12.53,92.39,3.87,52.63,1.45,0.08,92.23,1,0.08,7.77,14.51,15.96,18.74,18.73,18.73,4981.6,1594111,4985.64,1595404,16,48400,16,0,0,0,774400,18.91,32,128,32,64,4.56,7.12,32,50,111,0x200060000000,0x2000602f4400,3097600,22,34,3072,3072,0,6
