Benchmark,InputData,Data,DataID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap,label
gaussian,336,m,2,Fan2,830357142.9,12.69,19990,1237909226,19.48,16128,19.48,15009.5,3.68,9.16,0.19,0.15,0.2,4.89,4.89,1.07861E+11,19.48,12.69,92.11,3.11,65.46,1.64,0.05,94.65,1,0.05,5.35,14.43,15.87,30.82,30.65,30.65,730.01,233604,734.09,234910,16,7056,16,0,0,0,112896,2.76,32,128,32,64,6.06,9.47,32,50,111,0x20006006ea00,0x2000600dce00,451584,1,6,448,64,0,0
gaussian,336,a,0,Fan1,638235294.1,2.99,5219,959221813.7,2.99,5440,0.46,27.73,0.04,52.3,0.27,0,0.28,7.04,7.04,19547058824,0.35,2.99,51.15,0.03,1.48,2.66,0.09,93.47,1,0.07,6.53,28.18,30.74,43.17,40.68,40.68,1.84,589,1.95,625,512,1,17,0,0,0,512,0,32,5,32,4,10.86,16.96,64,100,111,0x200060000000,0x20006006e400,451584,8,27,448,448,0,0
gaussian,336,b,1,Fan1,638235294.1,2.99,5219,959221813.7,2.99,5440,0.46,27.73,0.04,52.3,0.27,0,0.28,7.04,7.04,19547058824,0.35,2.99,51.15,0.03,1.48,2.66,0.09,93.47,1,0.07,6.53,28.18,30.74,43.17,40.68,40.68,1.84,589,1.95,625,512,1,17,0,0,0,512,0,32,5,32,4,10.86,16.96,64,100,111,0x20006006e400,0x20006006e940,1344,0,0,0,0,0,3
gaussian,336,m,2,Fan1,638235294.1,2.99,5219,959221813.7,2.99,5440,0.46,27.73,0.04,52.3,0.27,0,0.28,7.04,7.04,19547058824,0.35,2.99,51.15,0.03,1.48,2.66,0.09,93.47,1,0.07,6.53,28.18,30.74,43.17,40.68,40.68,1.84,589,1.95,625,512,1,17,0,0,0,512,0,32,5,32,4,10.86,16.96,64,100,111,0x20006006ea00,0x2000600dce00,451584,1,6,448,64,0,0
gaussian,336,a,0,Fan2,835735586.5,12.59,20087,1246665838,18.44,16096,18.44,15396.36,3.66,9.63,0.19,0.15,0.19,4.77,4.77,1.0775E+11,18.44,12.59,88.92,3.1,61.11,1.58,0.05,94.69,1,0.05,5.31,14.37,15.81,29.88,29.72,29.72,730.01,233604,734.07,234902,16,7056,16,0,0,0,112896,2.76,32,128,32,64,5.85,9.14,32,50,111,0x200060000000,0x20006006e400,451584,8,27,448,448,0,5
gaussian,336,b,1,Fan2,835735586.5,12.59,20087,1246665838,18.44,16096,18.44,15396.36,3.66,9.63,0.19,0.15,0.19,4.77,4.77,1.0775E+11,18.44,12.59,88.92,3.1,61.11,1.58,0.05,94.69,1,0.05,5.31,14.37,15.81,29.88,29.72,29.72,730.01,233604,734.07,234902,16,7056,16,0,0,0,112896,2.76,32,128,32,64,5.85,9.14,32,50,111,0x20006006e400,0x20006006e940,1344,0,0,0,0,0,4
gaussian,336,m,2,Fan2,835735586.5,12.59,20087,1246665838,18.44,16096,18.44,15396.36,3.66,9.63,0.19,0.15,0.19,4.77,4.77,1.0775E+11,18.44,12.59,88.92,3.1,61.11,1.58,0.05,94.69,1,0.05,5.31,14.37,15.81,29.88,29.72,29.72,730.01,233604,734.07,234902,16,7056,16,0,0,0,112896,2.76,32,128,32,64,5.85,9.14,32,50,111,0x20006006ea00,0x2000600dce00,451584,1,6,448,64,0,0
gaussian,336,a,0,Fan1,661242603.6,2.89,5328,985145463.5,2.89,5408,0.45,29.69,0.04,48.72,0.25,0,0.26,6.58,6.58,19579881657,0.35,2.89,51.15,0.03,1.48,2.73,0.09,92.83,1,0.07,7.17,28.12,30.68,40.44,38.11,38.11,1.84,589,1.95,625,512,1,17,0,0,0,512,0,32,5,32,4,10.65,16.64,64,100,111,0x200060000000,0x20006006e400,451584,8,27,448,448,0,0
gaussian,336,b,1,Fan1,661242603.6,2.89,5328,985145463.5,2.89,5408,0.45,29.69,0.04,48.72,0.25,0,0.26,6.58,6.58,19579881657,0.35,2.89,51.15,0.03,1.48,2.73,0.09,92.83,1,0.07,7.17,28.12,30.68,40.44,38.11,38.11,1.84,589,1.95,625,512,1,17,0,0,0,512,0,32,5,32,4,10.65,16.64,64,100,111,0x20006006e400,0x20006006e940,1344,0,0,0,0,0,3
gaussian,336,m,2,Fan1,661242603.6,2.89,5328,985145463.5,2.89,5408,0.45,29.69,0.04,48.72,0.25,0,0.26,6.58,6.58,19579881657,0.35,2.89,51.15,0.03,1.48,2.73,0.09,92.83,1,0.07,7.17,28.12,30.68,40.44,38.11,38.11,1.84,589,1.95,625,512,1,17,0,0,0,512,0,32,5,32,4,10.65,16.64,64,100,111,0x20006006ea00,0x2000600dce00,451584,1,6,448,64,0,0
gaussian,336,a,0,Fan2,839428857.7,12.8,20005,1251179442,18.13,15968,18.13,15468.34,3.64,9.27,0.19,0.14,0.19,4.71,4.71,1.10016E+11,18.13,12.8,93.87,3.08,62.4,1.56,0.05,94.71,1,0.05,5.29,14.44,15.89,29.65,29.49,29.49,723.95,231663,728.02,232965,16,7056,16,0,0,0,112896,2.76,32,128,32,64,5.63,8.8,32,50,111,0x200060000000,0x20006006e400,451584,8,27,448,448,0,5
gaussian,336,b,1,Fan2,839428857.7,12.8,20005,1251179442,18.13,15968,18.13,15468.34,3.64,9.27,0.19,0.14,0.19,4.71,4.71,1.10016E+11,18.13,12.8,93.87,3.08,62.4,1.56,0.05,94.71,1,0.05,5.29,14.44,15.89,29.65,29.49,29.49,723.95,231663,728.02,232965,16,7056,16,0,0,0,112896,2.76,32,128,32,64,5.63,8.8,32,50,111,0x20006006e400,0x20006006e940,1344,0,0,0,0,0,4
gaussian,336,m,2,Fan2,839428857.7,12.8,20005,1251179442,18.13,15968,18.13,15468.34,3.64,9.27,0.19,0.14,0.19,4.71,4.71,1.10016E+11,18.13,12.8,93.87,3.08,62.4,1.56,0.05,94.71,1,0.05,5.29,14.44,15.89,29.65,29.49,29.49,723.95,231663,728.02,232965,16,7056,16,0,0,0,112896,2.76,32,128,32,64,5.63,8.8,32,50,111,0x20006006ea00,0x2000600dce00,451584,1,6,448,64,0,0
gaussian,336,a,0,Fan1,756666666.7,2.85,5428,1130381944,2.85,4800,0.44,28.85,0.04,50,0.26,0,0.27,6.77,6.77,22046666667,0.34,2.85,51.15,0.03,1.49,2.96,0.1,92.61,1,0.07,7.39,28.05,30.61,42.58,40.12,40.12,1.84,589,1.95,625,512,1,17,0,0,0,512,0,32,5,32,4,10.95,17.11,64,100,111,0x200060000000,0x20006006e400,451584,8,27,448,448,0,0
