Benchmark,InputData,ID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy
cfd,097K,48,cuda_time_step,834688346.88,67.02,14683,1240077348.69,67.02,11808,21.87,11638.15,5.26,14.35,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.84,52.87,60,93.75
cfd,097K,49,cuda_compute_step_factor,790770609.32,45.75,10475,1171669653.52,45.75,8928,13.40,7997.41,18.62,11.39,192,506,20,0,0,0,97152,0.63,32,14,32,10,30.22,47.22,60,93.75
cfd,097K,50,cuda_compute_flux,846311475.41,34.96,48949,1248518613.39,34.96,39040,31.48,36580.66,22.88,29.65,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.87,38.86,30,46.88
cfd,097K,51,cuda_time_step,870833333.33,65.58,14915,1291767939.81,65.58,11520,21.53,11589.30,5.18,14.41,192,506,22,0,0,0,97152,0.63,32,14,32,10,34.12,53.31,60,93.75
cfd,097K,52,cuda_compute_flux,840104166.67,35.93,47748,1238658854.17,35.93,38400,32.08,37081.34,23.08,29.22,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.66,38.53,30,46.88
cfd,097K,53,cuda_time_step,795103092.78,67.32,14679,1179700923.54,67.32,12416,21.87,11643.60,5.26,14.34,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.91,52.98,60,93.75
cfd,097K,54,cuda_compute_flux,827410640.07,36.34,47107,1219304170.13,36.34,38496,32.66,36130.16,23.26,29.98,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.91,38.92,30,46.88
cfd,097K,55,cuda_time_step,824607329.84,65.55,14997,1223508398.78,65.55,12224,21.40,11585.31,5.15,14.41,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.93,53.01,60,93.75
cfd,097K,56,cuda_compute_step_factor,819188191.88,45.00,10506,1209697878.23,45.00,8672,13.36,8088.86,18.40,11.26,192,506,20,0,0,0,97152,0.63,32,14,32,10,30.01,46.88,60,93.75
cfd,097K,57,cuda_compute_flux,870444915.25,35.22,48690,1283664371.47,35.22,37760,31.66,36879.93,22.83,29.35,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.89,38.89,30,46.88
cfd,097K,58,cuda_time_step,787531806.62,66.82,14744,1169423240.03,66.82,12576,21.76,11539.33,5.23,14.47,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.88,52.94,60,93.75
cfd,097K,59,cuda_compute_flux,868488471.39,35.68,48159,1279955700.26,35.68,37472,31.74,36260.34,22.67,30.02,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.95,38.98,30,46.88
cfd,097K,60,cuda_time_step,794136597.94,67.69,14687,1179768041.24,67.69,12416,21.85,11453.31,5.25,14.58,192,506,22,0,0,0,97152,0.63,32,14,32,10,34.03,53.18,60,93.75
cfd,097K,61,cuda_compute_flux,840568862.28,36.93,46542,1238834830.34,36.93,37408,32.99,35210.04,23.35,30.73,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.79,38.74,30,46.88
cfd,097K,62,cuda_time_step,750618811.88,67.79,14421,1112636654.29,67.79,12928,22.23,11476.92,5.35,14.55,192,506,22,0,0,0,97152,0.63,32,14,32,10,34.04,53.19,60,93.75
cfd,097K,63,cuda_compute_step_factor,749140893.47,46.22,10346,1109231815.58,46.22,9312,13.58,7990,18.39,11.40,192,506,20,0,0,0,97152,0.63,32,14,32,10,30.12,47.06,60,93.75
cfd,097K,64,cuda_compute_flux,852640545.14,36.10,47409,1256809873.65,36.10,37568,32.43,36244.84,23.13,29.98,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.43,38.18,30,46.88
cfd,097K,65,cuda_time_step,811653116.53,68.82,14229,1202038166.21,68.82,11808,22.58,11594.10,5.43,14.40,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.91,52.98,60,93.75
cfd,097K,66,cuda_compute_flux,866185216.65,35.38,48318,1277161214.95,35.38,37664,31.71,36028.34,22.40,30.11,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.69,38.58,30,46.88
cfd,097K,67,cuda_time_step,809523809.52,67.78,14572,1202408509.70,67.78,12096,22.04,11766.99,5.29,14.19,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.71,52.67,60,93.75
cfd,097K,68,cuda_compute_flux,830211726.38,35.51,48301,1225005937.84,35.51,39296,31.71,35761.35,22.28,30.41,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.67,38.54,30,46.88
cfd,097K,69,cuda_time_step,830601092.90,67.93,14480,1233236566.48,67.93,11712,22.19,11535.75,5.33,14.48,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.76,52.75,60,93.75
cfd,097K,70,cuda_compute_step_factor,802867383.51,45.02,10638,1189292114.70,45.02,8928,13.21,8140.23,17.72,11.19,192,506,20,0,0,0,97152,0.63,32,14,32,10,30.45,47.58,60,93.75
cfd,097K,71,cuda_compute_flux,787610619.47,36.89,46349,1159874463.66,36.89,39776,33.06,36307.71,23.49,29.87,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.87,38.85,30,46.88
cfd,097K,72,cuda_time_step,716627634.66,67.61,14556,1062365827.48,67.61,13664,22.04,11743.09,5.30,14.22,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.90,52.97,60,93.75
cfd,097K,73,cuda_compute_flux,834519934.91,35.41,48599,1231400020.34,35.41,39328,31.43,36124.71,22.07,30.10,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.90,38.91,30,46.88
cfd,097K,74,cuda_time_step,846374045.80,62.34,15867,1258534775.23,62.34,12576,20.21,12186.42,4.86,13.70,192,506,22,0,0,0,97152,0.63,32,14,32,10,34.10,53.28,60,93.75
cfd,097K,75,cuda_compute_flux,892576419.21,35.45,48435,1315843340.61,35.45,36640,31.52,36832.93,22.09,29.46,192,506,60,0,0,0,97152,1.27,32,5,32,10,25.12,39.24,30,46.88
cfd,097K,76,cuda_time_step,807180851.06,68.48,14458,1199191046.10,68.48,12032,22.19,11501.45,5.34,14.52,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.74,52.72,60,93.75
cfd,097K,77,cuda_compute_step_factor,770175438.60,45.92,10429,1141959064.33,45.92,9120,13.46,8084.56,17.87,11.27,192,506,20,0,0,0,97152,0.63,32,14,32,10,30.46,47.60,60,93.75
cfd,097K,78,cuda_compute_flux,882203389.83,34.77,49364,1301884710.45,34.77,37760,31.09,35565.82,21.85,30.41,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.42,38.16,30,46.88
