kernel,InputData,MemLocation,h_areas,h_elements_surrounding_elements,h_normals,label,TimePerc,Time,calls,AVG,MIN,MAX
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetReadMostly,0521,70.52,478.3950,6000,0.079732,0.067936,4.522439
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,0522,70.53,478.2645,6000,0.079710,0.068896,4.461256
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetAccessedByGPU,0523,96.51,5.52e+03,6000,0.919576,0.907035,2.329683
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,0524,96.51,5.52e+03,6000,0.919725,0.906363,9.033837
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationCPU,0525,70.53,478.3651,6000,0.079727,0.068352,4.507624
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetAccessedByGPU,none,0530,90.57,1.92e+03,6000,0.320022,0.311486,3.718315
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetReadMostly,0531,90.57,1.92e+03,6000,0.320064,0.311710,3.604589
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetPreferredLocationGPU,0532,90.54,1.91e+03,6000,0.319052,0.310750,3.712043
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetAccessedByGPU,0533,97.33,7.27e+03,6000,1.211308,1.204985,1.264184
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetPreferredLocationGPU,0534,97.33,7.27e+03,6000,1.212295,1.205561,8.493519
