Benchmark,Executed Ipc Elapsed,Issued Warp Per Scheduler,Avg. Executed Instructions Per Scheduler,Block Size,Registers Per Thread,Threads,Waves Per SM,Block Limit Registers,Block Limit Warps,CPUPageFault,GPUPagePault,HtoD,DtoH,label categorical
cfd,0.24,0.07,1512,192,22,193536,1.26,14,10,5,60,1024,0,F
cfd,0.24,0.07,1512,192,22,193536,1.26,14,10,20,33,3024,0,E
cfd,0.24,0.07,1512,192,22,193536,1.26,14,10,58,20,9072,0,F
cfd,1.39,0.4,27833.27,192,60,193536,2.52,5,10,5,60,1024,0,A
cfd,1.39,0.4,27833.27,192,60,193536,2.52,5,10,20,33,3024,0,B
cfd,1.39,0.4,27833.27,192,60,193536,2.52,5,10,58,20,9072,0,C
cfd,0.24,0.07,1512,192,22,193536,1.26,14,10,5,60,1024,0,F
cfd,0.24,0.07,1512,192,22,193536,1.26,14,10,20,33,3024,0,E
cfd,0.24,0.07,1512,192,22,193536,1.26,14,10,58,20,9072,0,F
cfd,1.35,0.38,26435.35,192,60,193536,2.52,5,10,5,60,1024,0,A
cfd,1.35,0.38,26435.35,192,60,193536,2.52,5,10,20,33,3024,0,B
cfd,1.35,0.38,26435.35,192,60,193536,2.52,5,10,58,20,9072,0,C
cfd,0.24,0.08,1512,192,22,193536,1.26,14,10,5,60,1024,0,F
cfd,0.24,0.08,1512,192,22,193536,1.26,14,10,20,33,3024,0,E
cfd,0.24,0.08,1512,192,22,193536,1.26,14,10,58,20,9072,0,F
cfd,1.06,0.34,4698.39,192,20,193536,1.26,14,10,5,60,1024,0,A
cfd,1.06,0.34,4698.39,192,20,193536,1.26,14,10,20,33,3024,0,A
cfd,1.06,0.34,4698.39,192,20,193536,1.26,14,10,58,20,9072,0,E
cfd,1.35,0.37,26256.95,192,60,193536,2.52,5,10,5,60,1024,0,A
cfd,1.35,0.37,26256.95,192,60,193536,2.52,5,10,20,33,3024,0,B
cfd,1.35,0.37,26256.95,192,60,193536,2.52,5,10,58,20,9072,0,C
cfd,0.24,0.07,1512,192,22,193536,1.26,14,10,5,60,1024,0,F
cfd,0.24,0.07,1512,192,22,193536,1.26,14,10,20,33,3024,0,E
cfd,0.24,0.07,1512,192,22,193536,1.26,14,10,58,20,9072,0,F
cfd,1.35,0.37,25821.65,192,60,193536,2.52,5,10,5,60,1024,0,A
