Executed Ipc Elapsed,Issued Warp Per Scheduler,Avg. Executed Instructions Per Scheduler,Block Size,Registers Per Thread,Threads,Waves Per SM,Block Limit Registers,Block Limit Warps,CPUPageFault,GPUPagePault,HtoD,DtoH,label categorical
0,0.07,4.78,512,17,1024,0.01,5,4,12,53,3904,0,A
0.18,0.08,6318.6,16,16,984064,24.02,128,64,25,48,3904,3904,G
0.18,0.08,6318.6,16,16,984064,24.02,128,64,2,256,64,64,A
0.18,0.08,6318.6,16,16,984064,24.02,128,64,12,53,3904,0,A
0,0.07,4.78,512,17,1024,0.01,5,4,25,48,3904,3904,A
0,0.07,4.78,512,17,1024,0.01,5,4,2,256,64,64,E
0,0.07,4.78,512,17,1024,0.01,5,4,12,53,3904,0,A
0.19,0.08,6765.6,16,16,1048576,25.6,128,64,26,282,4160,4160,A
0.19,0.08,6765.6,16,16,1048576,25.6,128,64,2,256,64,64,A
0.19,0.08,6765.6,16,16,1048576,25.6,128,64,12,54,4096,0,C
0,0.08,5.16,512,17,1024,0.01,5,4,26,282,4160,4160,A
0,0.08,5.16,512,17,1024,0.01,5,4,2,256,64,64,D
0,0.08,5.16,512,17,1024,0.01,5,4,12,54,4096,0,A
0.19,0.08,6765.6,16,16,1048576,25.6,128,64,26,282,4160,4160,A
0.19,0.08,6765.6,16,16,1048576,25.6,128,64,2,256,64,64,A
0.19,0.08,6765.6,16,16,1048576,25.6,128,64,12,54,4096,0,C
0,0.07,4.9,512,17,1024,0.01,5,4,26,282,4160,4160,A
0,0.07,4.9,512,17,1024,0.01,5,4,2,256,64,64,D
0,0.07,4.9,512,17,1024,0.01,5,4,12,54,4096,0,A
0.19,0.08,6747.17,16,16,1048576,25.6,128,64,26,282,4160,4160,A
0.19,0.08,6747.17,16,16,1048576,25.6,128,64,2,256,64,64,A
0.19,0.08,6747.17,16,16,1048576,25.6,128,64,12,54,4096,0,C
0,0.07,4.9,512,17,1024,0.01,5,4,26,282,4160,4160,A
0,0.07,4.9,512,17,1024,0.01,5,4,2,256,64,64,D
0,0.07,4.9,512,17,1024,0.01,5,4,12,54,4096,0,A
0.18,0.08,6733.62,16,16,1048576,25.6,128,64,26,282,4160,4160,A
0.18,0.08,6733.62,16,16,1048576,25.6,128,64,2,256,64,64,A
0.18,0.08,6733.62,16,16,1048576,25.6,128,64,12,54,4096,0,C
0,0.07,4.9,512,17,1024,0.01,5,4,26,282,4160,4160,A
0,0.07,4.9,512,17,1024,0.01,5,4,2,256,64,64,D
0,0.07,4.9,512,17,1024,0.01,5,4,12,54,4096,0,A
0.18,0.08,6733.62,16,16,1048576,25.6,128,64,26,282,4160,4160,A
0.18,0.08,6733.62,16,16,1048576,25.6,128,64,2,256,64,64,A
0.18,0.08,6733.62,16,16,1048576,25.6,128,64,12,54,4096,0,C
0,0.07,4.9,512,17,1024,0.01,5,4,26,282,4160,4160,A
0,0.07,4.9,512,17,1024,0.01,5,4,2,256,64,64,D
0,0.07,4.9,512,17,1024,0.01,5,4,12,54,4096,0,A
0,0.02,1.76,16,16,256,0.01,128,64,2,9,64,64,C
0,0.02,1.76,16,16,256,0.01,128,64,0,0,0,0,C
0,0.02,1.76,16,16,256,0.01,128,64,0,0,0,0,B
0,0.07,0.62,512,17,512,0,5,4,2,9,64,64,A
0,0.07,0.62,512,17,512,0,5,4,0,0,0,0,A
0,0.07,0.62,512,17,512,0,5,4,0,0,0,0,A
0,0.02,1.76,16,16,256,0.01,128,64,2,9,64,64,C
0,0.02,1.76,16,16,256,0.01,128,64,0,0,0,0,C
0,0.02,1.76,16,16,256,0.01,128,64,0,0,0,0,B
0,0.07,0.62,512,17,512,0,5,4,2,9,64,64,A
0,0.07,0.62,512,17,512,0,5,4,0,0,0,0,A
0,0.07,0.62,512,17,512,0,5,4,0,0,0,0,A
0,0.02,1.45,16,16,256,0.01,128,64,2,9,64,64,C
0,0.02,1.45,16,16,256,0.01,128,64,0,0,0,0,C
0,0.02,1.45,16,16,256,0.01,128,64,0,0,0,0,B
0,0.06,0.62,512,17,512,0,5,4,2,9,64,64,A
0,0.06,0.62,512,17,512,0,5,4,0,0,0,0,A
0,0.06,0.62,512,17,512,0,5,4,0,0,0,0,A
0,0.02,1.29,16,16,256,0.01,128,64,2,9,64,64,C
0,0.02,1.29,16,16,256,0.01,128,64,0,0,0,0,C
0,0.02,1.29,16,16,256,0.01,128,64,0,0,0,0,B
0,0.07,0.62,512,17,512,0,5,4,2,9,64,64,A
0,0.07,0.62,512,17,512,0,5,4,0,0,0,0,A
0,0.07,0.62,512,17,512,0,5,4,0,0,0,0,A
0,0.02,1.29,16,16,256,0.01,128,64,2,9,64,64,C
0,0.02,1.29,16,16,256,0.01,128,64,0,0,0,0,C
0,0.02,1.29,16,16,256,0.01,128,64,0,0,0,0,B
0,0.07,0.62,512,17,512,0,5,4,2,9,64,64,A
0,0.07,0.62,512,17,512,0,5,4,0,0,0,0,A
0,0.07,0.62,512,17,512,0,5,4,0,0,0,0,A
0.11,0.05,280.31,16,16,43264,1.06,128,64,6,50,192,192,A
0.11,0.05,280.31,16,16,43264,1.06,128,64,0,0,0,0,A
0.11,0.05,280.31,16,16,43264,1.06,128,64,1,5,320,64,C
0,0.08,2,512,17,512,0,5,4,6,50,192,192,A
0,0.08,2,512,17,512,0,5,4,0,0,0,0,D
0,0.08,2,512,17,512,0,5,4,1,5,320,64,A
0.1,0.05,280.31,16,16,43264,1.06,128,64,6,50,192,192,A
0.1,0.05,280.31,16,16,43264,1.06,128,64,0,0,0,0,A
0.1,0.05,280.31,16,16,43264,1.06,128,64,1,5,320,64,C
0,0.07,1.75,512,17,512,0,5,4,6,50,192,192,A
0,0.07,1.75,512,17,512,0,5,4,0,0,0,0,D
0,0.07,1.75,512,17,512,0,5,4,1,5,320,64,A
0.1,0.05,276.55,16,16,43264,1.06,128,64,6,50,192,192,A
0.1,0.05,276.55,16,16,43264,1.06,128,64,0,0,0,0,A
0.1,0.05,276.55,16,16,43264,1.06,128,64,1,5,320,64,C
0,0.07,1.75,512,17,512,0,5,4,6,50,192,192,A
0,0.07,1.75,512,17,512,0,5,4,0,0,0,0,D
0,0.07,1.75,512,17,512,0,5,4,1,5,320,64,A
0.1,0.05,273.84,16,16,43264,1.06,128,64,6,50,192,192,A
0.1,0.05,273.84,16,16,43264,1.06,128,64,0,0,0,0,A
0.1,0.05,273.84,16,16,43264,1.06,128,64,1,5,320,64,C
0,0.08,1.75,512,17,512,0,5,4,6,50,192,192,A
0,0.08,1.75,512,17,512,0,5,4,0,0,0,0,D
0,0.08,1.75,512,17,512,0,5,4,1,5,320,64,A
0.1,0.05,273.84,16,16,43264,1.06,128,64,6,50,192,192,A
0.1,0.05,273.84,16,16,43264,1.06,128,64,0,0,0,0,A
0.1,0.05,273.84,16,16,43264,1.06,128,64,1,5,320,64,C
0,0.07,1.75,512,17,512,0,5,4,6,50,192,192,A
0,0.07,1.75,512,17,512,0,5,4,0,0,0,0,D
0,0.07,1.75,512,17,512,0,5,4,1,5,320,64,A
0,0.03,0.13,16,16,16,0,128,64,2,1,64,64,C
0,0.03,0.13,16,16,16,0,128,64,0,0,0,0,C
0,0.03,0.13,16,16,16,0,128,64,0,0,0,0,D
0.14,0.05,597.79,16,16,92416,2.26,128,64,9,40,512,384,C
0.14,0.05,597.79,16,16,92416,2.26,128,64,0,0,0,0,D
0.14,0.05,597.79,16,16,92416,2.26,128,64,1,8,512,128,B
0,0.07,1.72,512,17,512,0,5,4,9,40,512,384,A
0,0.07,1.72,512,17,512,0,5,4,0,0,0,0,A
0,0.07,1.72,512,17,512,0,5,4,1,8,512,128,A
0.14,0.05,597.79,16,16,92416,2.26,128,64,9,40,512,384,C
0.14,0.05,597.79,16,16,92416,2.26,128,64,0,0,0,0,D
0.14,0.05,597.79,16,16,92416,2.26,128,64,1,8,512,128,B
0,0.07,1.72,512,17,512,0,5,4,9,40,512,384,A
0,0.07,1.72,512,17,512,0,5,4,0,0,0,0,A
0,0.07,1.72,512,17,512,0,5,4,1,8,512,128,A
0.14,0.05,592.3,16,16,92416,2.26,128,64,9,40,512,384,C
0.14,0.05,592.3,16,16,92416,2.26,128,64,0,0,0,0,D
0.14,0.05,592.3,16,16,92416,2.26,128,64,1,8,512,128,B
0,0.07,1.72,512,17,512,0,5,4,9,40,512,384,A
0,0.07,1.72,512,17,512,0,5,4,0,0,0,0,A
0,0.07,1.72,512,17,512,0,5,4,1,8,512,128,A
0.14,0.05,588.31,16,16,92416,2.26,128,64,9,40,512,384,C
0.14,0.05,588.31,16,16,92416,2.26,128,64,0,0,0,0,D
0.14,0.05,588.31,16,16,92416,2.26,128,64,1,8,512,128,B
0,0.07,1.72,512,17,512,0,5,4,9,40,512,384,A
0,0.07,1.72,512,17,512,0,5,4,0,0,0,0,A
0,0.07,1.72,512,17,512,0,5,4,1,8,512,128,A
0.14,0.05,588.31,16,16,92416,2.26,128,64,9,40,512,384,C
0.14,0.05,588.31,16,16,92416,2.26,128,64,0,0,0,0,D
0.14,0.05,588.31,16,16,92416,2.26,128,64,1,8,512,128,B
0,0.07,1.72,512,17,512,0,5,4,9,40,512,384,A
0,0.07,1.72,512,17,512,0,5,4,0,0,0,0,A
0,0.07,1.72,512,17,512,0,5,4,1,8,512,128,A
0.01,0.03,6.83,16,16,1024,0.03,128,64,2,32,64,64,C
0.01,0.03,6.83,16,16,1024,0.03,128,64,0,0,0,0,D
0.01,0.03,6.83,16,16,1024,0.03,128,64,0,0,0,0,B
0,0.06,0.62,512,17,512,0,5,4,2,32,64,64,A
0,0.06,0.62,512,17,512,0,5,4,0,0,0,0,A
0,0.06,0.62,512,17,512,0,5,4,0,0,0,0,A
0.01,0.03,6.83,16,16,1024,0.03,128,64,2,32,64,64,C
0.01,0.03,6.83,16,16,1024,0.03,128,64,0,0,0,0,D
0.01,0.03,6.83,16,16,1024,0.03,128,64,0,0,0,0,B
0,0.06,0.62,512,17,512,0,5,4,2,32,64,64,A
0,0.06,0.62,512,17,512,0,5,4,0,0,0,0,A
0,0.06,0.62,512,17,512,0,5,4,0,0,0,0,A
0,0.03,6.22,16,16,1024,0.03,128,64,2,32,64,64,C
0,0.03,6.22,16,16,1024,0.03,128,64,0,0,0,0,D
0,0.03,6.22,16,16,1024,0.03,128,64,0,0,0,0,B
0,0.06,0.62,512,17,512,0,5,4,2,32,64,64,A
0,0.06,0.62,512,17,512,0,5,4,0,0,0,0,A
0,0.06,0.62,512,17,512,0,5,4,0,0,0,0,A
0,0.03,5.85,16,16,1024,0.03,128,64,2,32,64,64,C
0,0.03,5.85,16,16,1024,0.03,128,64,0,0,0,0,D
0,0.03,5.85,16,16,1024,0.03,128,64,0,0,0,0,B
0,0.06,0.62,512,17,512,0,5,4,2,32,64,64,A
0,0.06,0.62,512,17,512,0,5,4,0,0,0,0,A
0,0.06,0.62,512,17,512,0,5,4,0,0,0,0,A
0,0.02,5.85,16,16,1024,0.03,128,64,2,32,64,64,C
0,0.02,5.85,16,16,1024,0.03,128,64,0,0,0,0,D
0,0.02,5.85,16,16,1024,0.03,128,64,0,0,0,0,B
0,0.06,0.62,512,17,512,0,5,4,2,32,64,64,A
0,0.06,0.62,512,17,512,0,5,4,0,0,0,0,A
0,0.06,0.62,512,17,512,0,5,4,0,0,0,0,A
0.14,0.05,662.25,16,16,102400,2.5,128,64,8,65,448,448,C
0.14,0.05,662.25,16,16,102400,2.5,128,64,0,0,0,0,F
0.14,0.05,662.25,16,16,102400,2.5,128,64,1,2,384,64,G
0,0.07,1.72,512,17,512,0,5,4,8,65,448,448,A
0,0.07,1.72,512,17,512,0,5,4,0,0,0,0,A
0,0.07,1.72,512,17,512,0,5,4,1,2,384,64,A
0.14,0.05,662.25,16,16,102400,2.5,128,64,8,65,448,448,C
0.14,0.05,662.25,16,16,102400,2.5,128,64,0,0,0,0,F
0.14,0.05,662.25,16,16,102400,2.5,128,64,1,2,384,64,G
0,0.06,1.72,512,17,512,0,5,4,8,65,448,448,A
0,0.06,1.72,512,17,512,0,5,4,0,0,0,0,A
0,0.06,1.72,512,17,512,0,5,4,1,2,384,64,A
0.14,0.05,656.47,16,16,102400,2.5,128,64,8,65,448,448,C
0.14,0.05,656.47,16,16,102400,2.5,128,64,0,0,0,0,F
0.14,0.05,656.47,16,16,102400,2.5,128,64,1,2,384,64,G
0,0.06,1.72,512,17,512,0,5,4,8,65,448,448,A
0,0.06,1.72,512,17,512,0,5,4,0,0,0,0,A
0,0.06,1.72,512,17,512,0,5,4,1,2,384,64,A
0.14,0.05,652.27,16,16,102400,2.5,128,64,8,65,448,448,C
0.14,0.05,652.27,16,16,102400,2.5,128,64,0,0,0,0,F
0.14,0.05,652.27,16,16,102400,2.5,128,64,1,2,384,64,G
0,0.07,1.72,512,17,512,0,5,4,8,65,448,448,A
0,0.07,1.72,512,17,512,0,5,4,0,0,0,0,A
0,0.07,1.72,512,17,512,0,5,4,1,2,384,64,A
0.14,0.05,652.27,16,16,102400,2.5,128,64,8,65,448,448,C
0.14,0.05,652.27,16,16,102400,2.5,128,64,0,0,0,0,F
0.14,0.05,652.27,16,16,102400,2.5,128,64,1,2,384,64,G
0,0.06,1.72,512,17,512,0,5,4,8,65,448,448,A
0,0.06,1.72,512,17,512,0,5,4,0,0,0,0,A
0,0.06,1.72,512,17,512,0,5,4,1,2,384,64,A
0.15,0.05,730.01,16,16,112896,2.76,128,64,8,1,448,448,C
0.15,0.05,730.01,16,16,112896,2.76,128,64,0,0,0,0,A
0.15,0.05,730.01,16,16,112896,2.76,128,64,1,8,576,64,G
0,0.07,1.84,512,17,512,0,5,4,8,1,448,448,A
0,0.07,1.84,512,17,512,0,5,4,0,0,0,0,A
0,0.07,1.84,512,17,512,0,5,4,1,8,576,64,A
0.15,0.05,730.01,16,16,112896,2.76,128,64,8,1,448,448,C
0.15,0.05,730.01,16,16,112896,2.76,128,64,0,0,0,0,A
0.15,0.05,730.01,16,16,112896,2.76,128,64,1,8,576,64,G
0,0.07,1.97,512,17,512,0,5,4,8,1,448,448,A
0,0.07,1.97,512,17,512,0,5,4,0,0,0,0,A
0,0.07,1.97,512,17,512,0,5,4,1,8,576,64,A
0.15,0.05,723.95,16,16,112896,2.76,128,64,8,1,448,448,C
0.15,0.05,723.95,16,16,112896,2.76,128,64,0,0,0,0,A
0.15,0.05,723.95,16,16,112896,2.76,128,64,1,8,576,64,G
0,0.07,1.84,512,17,512,0,5,4,8,1,448,448,A
0,0.07,1.84,512,17,512,0,5,4,0,0,0,0,A
0,0.07,1.84,512,17,512,0,5,4,1,8,576,64,A
0.15,0.06,719.54,16,16,112896,2.76,128,64,8,1,448,448,C
0.15,0.06,719.54,16,16,112896,2.76,128,64,0,0,0,0,A
0.15,0.06,719.54,16,16,112896,2.76,128,64,1,8,576,64,G
0,0.07,1.84,512,17,512,0,5,4,8,1,448,448,A
0,0.07,1.84,512,17,512,0,5,4,0,0,0,0,A
0,0.07,1.84,512,17,512,0,5,4,1,8,576,64,A
0.15,0.05,719.54,16,16,112896,2.76,128,64,8,1,448,448,C
0.15,0.05,719.54,16,16,112896,2.76,128,64,0,0,0,0,A
0.15,0.05,719.54,16,16,112896,2.76,128,64,1,8,576,64,G
0,0.07,1.84,512,17,512,0,5,4,8,1,448,448,A
0,0.07,1.84,512,17,512,0,5,4,0,0,0,0,A
0,0.07,1.84,512,17,512,0,5,4,1,8,576,64,A
0.15,0.05,875.44,16,16,135424,3.31,128,64,10,28,576,576,D
0.15,0.05,875.44,16,16,135424,3.31,128,64,0,0,0,0,B
0.15,0.05,875.44,16,16,135424,3.31,128,64,1,24,512,0,A
0,0.07,1.96,512,17,512,0,5,4,10,28,576,576,D
0,0.07,1.96,512,17,512,0,5,4,0,0,0,0,A
0,0.07,1.96,512,17,512,0,5,4,1,24,512,0,A
0.15,0.05,875.44,16,16,135424,3.31,128,64,10,28,576,576,D
0.15,0.05,875.44,16,16,135424,3.31,128,64,0,0,0,0,B
0.15,0.05,875.44,16,16,135424,3.31,128,64,1,24,512,0,A
0,0.07,1.96,512,17,512,0,5,4,10,28,576,576,D
0,0.07,1.96,512,17,512,0,5,4,0,0,0,0,A
0,0.07,1.96,512,17,512,0,5,4,1,24,512,0,A
0.15,0.05,868.8,16,16,135424,3.31,128,64,10,28,576,576,D
0.15,0.05,868.8,16,16,135424,3.31,128,64,0,0,0,0,B
0.15,0.05,868.8,16,16,135424,3.31,128,64,1,24,512,0,A
0,0.07,1.96,512,17,512,0,5,4,10,28,576,576,D
0,0.07,1.96,512,17,512,0,5,4,0,0,0,0,A
0,0.07,1.96,512,17,512,0,5,4,1,24,512,0,A
0.15,0.05,863.96,16,16,135424,3.31,128,64,10,28,576,576,D
0.15,0.05,863.96,16,16,135424,3.31,128,64,0,0,0,0,B
0.15,0.05,863.96,16,16,135424,3.31,128,64,1,24,512,0,A
0,0.07,1.96,512,17,512,0,5,4,10,28,576,576,D
0,0.07,1.96,512,17,512,0,5,4,0,0,0,0,A
0,0.07,1.96,512,17,512,0,5,4,1,24,512,0,A
0.15,0.05,863.96,16,16,135424,3.31,128,64,10,28,576,576,D
0.15,0.05,863.96,16,16,135424,3.31,128,64,0,0,0,0,B
0.15,0.05,863.96,16,16,135424,3.31,128,64,1,24,512,0,A
0,0.07,1.96,512,17,512,0,5,4,10,28,576,576,D
0,0.07,1.96,512,17,512,0,5,4,0,0,0,0,A
0,0.07,1.96,512,17,512,0,5,4,1,24,512,0,A
0.16,0.05,953.1,16,16,147456,3.6,128,64,11,24,960,640,C
0.16,0.05,953.1,16,16,147456,3.6,128,64,1,0,384,64,G
0.16,0.05,953.1,16,16,147456,3.6,128,64,1,9,1088,0,C
0,0.07,2.09,512,17,512,0,5,4,11,24,960,640,A
0,0.07,2.09,512,17,512,0,5,4,1,0,384,64,A
0,0.07,2.09,512,17,512,0,5,4,1,9,1088,0,A
0.15,0.05,953.1,16,16,147456,3.6,128,64,11,24,960,640,C
0.15,0.05,953.1,16,16,147456,3.6,128,64,1,0,384,64,G
0.15,0.05,953.1,16,16,147456,3.6,128,64,1,9,1088,0,C
0,0.07,2.09,512,17,512,0,5,4,11,24,960,640,A
0,0.07,2.09,512,17,512,0,5,4,1,0,384,64,A
0,0.07,2.09,512,17,512,0,5,4,1,9,1088,0,A
0.16,0.05,946.17,16,16,147456,3.6,128,64,11,24,960,640,C
0.16,0.05,946.17,16,16,147456,3.6,128,64,1,0,384,64,G
0.16,0.05,946.17,16,16,147456,3.6,128,64,1,9,1088,0,C
0,0.07,1.96,512,17,512,0,5,4,11,24,960,640,A
0,0.07,1.96,512,17,512,0,5,4,1,0,384,64,A
0,0.07,1.96,512,17,512,0,5,4,1,9,1088,0,A
0.15,0.05,941.12,16,16,147456,3.6,128,64,11,24,960,640,C
0.15,0.05,941.12,16,16,147456,3.6,128,64,1,0,384,64,G
0.15,0.05,941.12,16,16,147456,3.6,128,64,1,9,1088,0,C
0,0.07,1.96,512,17,512,0,5,4,11,24,960,640,A
0,0.07,1.96,512,17,512,0,5,4,1,0,384,64,A
0,0.07,1.96,512,17,512,0,5,4,1,9,1088,0,A
0.15,0.06,941.12,16,16,147456,3.6,128,64,11,24,960,640,C
0.15,0.06,941.12,16,16,147456,3.6,128,64,1,0,384,64,G
0.15,0.06,941.12,16,16,147456,3.6,128,64,1,9,1088,0,C
0,0.07,1.96,512,17,512,0,5,4,11,24,960,640,A
0,0.07,1.96,512,17,512,0,5,4,1,0,384,64,A
0,0.07,1.96,512,17,512,0,5,4,1,9,1088,0,A
0,0.03,0.13,16,16,16,0,128,64,2,2,64,64,B
0,0.03,0.13,16,16,16,0,128,64,0,0,0,0,B
0,0.03,0.13,16,16,16,0,128,64,0,0,0,0,A
0,0.07,0.62,512,17,512,0,5,4,2,2,64,64,A
0,0.07,0.62,512,17,512,0,5,4,0,0,0,0,G
0,0.07,0.62,512,17,512,0,5,4,0,0,0,0,A
0,0.03,0.13,16,16,16,0,128,64,2,2,64,64,B
0,0.03,0.13,16,16,16,0,128,64,0,0,0,0,B
0,0.03,0.13,16,16,16,0,128,64,0,0,0,0,A
0.48,0.19,1270.87,512,16,1000448,6.11,8,4,24,5,7872,0,A
0.48,0.19,1270.87,512,16,1000448,6.11,8,4,6,532,1024,0,A
0.48,0.19,1270.87,512,16,1000448,6.11,8,4,4,1,1024,0,A
0.48,0.19,1270.87,512,16,1000448,6.11,8,4,5,4,1024,0,E
0.3,0.17,1184.25,512,21,1000448,6.11,5,4,24,5,7872,0,A
0.3,0.17,1184.25,512,21,1000448,6.11,5,4,6,532,1024,0,A
0.3,0.17,1184.25,512,21,1000448,6.11,5,4,4,1,1024,0,A
0.3,0.17,1184.25,512,21,1000448,6.11,5,4,5,4,1024,0,A
0.49,0.19,1275.18,512,16,1000448,6.11,8,4,24,5,7872,0,A
0.49,0.19,1275.18,512,16,1000448,6.11,8,4,6,532,1024,0,A
0.49,0.19,1275.18,512,16,1000448,6.11,8,4,4,1,1024,0,A
0.49,0.19,1275.18,512,16,1000448,6.11,8,4,5,4,1024,0,E
0.27,0.15,1238.73,512,21,1000448,6.11,5,4,24,5,7872,0,A
0.27,0.15,1238.73,512,21,1000448,6.11,5,4,6,532,1024,0,A
0.27,0.15,1238.73,512,21,1000448,6.11,5,4,4,1,1024,0,A
0.27,0.15,1238.73,512,21,1000448,6.11,5,4,5,4,1024,0,A
0.49,0.19,1302.13,512,16,1000448,6.11,8,4,24,5,7872,0,A
0.49,0.19,1302.13,512,16,1000448,6.11,8,4,6,532,1024,0,A
0.49,0.19,1302.13,512,16,1000448,6.11,8,4,4,1,1024,0,A
0.49,0.19,1302.13,512,16,1000448,6.11,8,4,5,4,1024,0,E
0.32,0.13,1562.42,512,21,1000448,6.11,5,4,24,5,7872,0,A
0.32,0.13,1562.42,512,21,1000448,6.11,5,4,6,532,1024,0,A
0.32,0.13,1562.42,512,21,1000448,6.11,5,4,4,1,1024,0,A
0.32,0.13,1562.42,512,21,1000448,6.11,5,4,5,4,1024,0,A
0.43,0.18,1444.31,512,16,1000448,6.11,8,4,24,5,7872,0,A
0.43,0.18,1444.31,512,16,1000448,6.11,8,4,6,532,1024,0,A
0.43,0.18,1444.31,512,16,1000448,6.11,8,4,4,1,1024,0,A
0.43,0.18,1444.31,512,16,1000448,6.11,8,4,5,4,1024,0,E
0.36,0.12,3284.85,512,21,1000448,6.11,5,4,24,5,7872,0,A
0.36,0.12,3284.85,512,21,1000448,6.11,5,4,6,532,1024,0,A
0.36,0.12,3284.85,512,21,1000448,6.11,5,4,4,1,1024,0,A
0.36,0.12,3284.85,512,21,1000448,6.11,5,4,5,4,1024,0,A
0.2,0.06,2019.23,512,16,1000448,6.11,8,4,24,5,7872,0,A
0.2,0.06,2019.23,512,16,1000448,6.11,8,4,6,532,1024,0,A
0.2,0.06,2019.23,512,16,1000448,6.11,8,4,4,1,1024,0,A
0.2,0.06,2019.23,512,16,1000448,6.11,8,4,5,4,1024,0,E
0.58,0.16,10642.59,512,21,1000448,6.11,5,4,24,5,7872,0,A
0.58,0.16,10642.59,512,21,1000448,6.11,5,4,6,532,1024,0,A
0.58,0.16,10642.59,512,21,1000448,6.11,5,4,4,1,1024,0,A
0.58,0.16,10642.59,512,21,1000448,6.11,5,4,5,4,1024,0,A
0.15,0.04,2707.78,512,16,1000448,6.11,8,4,24,5,7872,0,A
0.15,0.04,2707.78,512,16,1000448,6.11,8,4,6,532,1024,0,A
0.15,0.04,2707.78,512,16,1000448,6.11,8,4,4,1,1024,0,A
0.15,0.04,2707.78,512,16,1000448,6.11,8,4,5,4,1024,0,E
0.56,0.15,22622.66,512,21,1000448,6.11,5,4,24,5,7872,0,A
0.56,0.15,22622.66,512,21,1000448,6.11,5,4,6,532,1024,0,A
0.56,0.15,22622.66,512,21,1000448,6.11,5,4,4,1,1024,0,A
0.56,0.15,22622.66,512,21,1000448,6.11,5,4,5,4,1024,0,A
0.15,0.04,2734.68,512,16,1000448,6.11,8,4,24,5,7872,0,A
0.15,0.04,2734.68,512,16,1000448,6.11,8,4,6,532,1024,0,A
0.15,0.04,2734.68,512,16,1000448,6.11,8,4,4,1,1024,0,A
0.15,0.04,2734.68,512,16,1000448,6.11,8,4,5,4,1024,0,E
0.37,0.1,26379.12,512,21,1000448,6.11,5,4,24,5,7872,0,A
0.37,0.1,26379.12,512,21,1000448,6.11,5,4,6,532,1024,0,A
0.37,0.1,26379.12,512,21,1000448,6.11,5,4,4,1,1024,0,A
0.37,0.1,26379.12,512,21,1000448,6.11,5,4,5,4,1024,0,A
0.15,0.04,2734.63,512,16,1000448,6.11,8,4,24,5,7872,0,A
0.15,0.04,2734.63,512,16,1000448,6.11,8,4,6,532,1024,0,A
0.15,0.04,2734.63,512,16,1000448,6.11,8,4,4,1,1024,0,A
0.15,0.04,2734.63,512,16,1000448,6.11,8,4,5,4,1024,0,E
0.8,0.21,22989.79,512,21,1000448,6.11,5,4,24,5,7872,0,A
0.8,0.21,22989.79,512,21,1000448,6.11,5,4,6,532,1024,0,A
0.8,0.21,22989.79,512,21,1000448,6.11,5,4,4,1,1024,0,A
0.8,0.21,22989.79,512,21,1000448,6.11,5,4,5,4,1024,0,A
0.23,0.08,1853.1,512,16,1000448,6.11,8,4,24,5,7872,0,A
0.23,0.08,1853.1,512,16,1000448,6.11,8,4,6,532,1024,0,A
0.23,0.08,1853.1,512,16,1000448,6.11,8,4,4,1,1024,0,A
0.23,0.08,1853.1,512,16,1000448,6.11,8,4,5,4,1024,0,E
0.63,0.19,5220.1,512,21,1000448,6.11,5,4,24,5,7872,0,A
0.63,0.19,5220.1,512,21,1000448,6.11,5,4,6,532,1024,0,A
0.63,0.19,5220.1,512,21,1000448,6.11,5,4,4,1,1024,0,A
0.63,0.19,5220.1,512,21,1000448,6.11,5,4,5,4,1024,0,A
0.49,0.19,1271.15,512,16,1000448,6.11,8,4,24,5,7872,0,A
0.49,0.19,1271.15,512,16,1000448,6.11,8,4,6,532,1024,0,A
0.49,0.19,1271.15,512,16,1000448,6.11,8,4,4,1,1024,0,A
0.49,0.19,1271.15,512,16,1000448,6.11,8,4,5,4,1024,0,E
0.39,0.18,1177.52,512,21,1000448,6.11,5,4,24,5,7872,0,A
0.39,0.18,1177.52,512,21,1000448,6.11,5,4,6,532,1024,0,A
0.39,0.18,1177.52,512,21,1000448,6.11,5,4,4,1,1024,0,A
0.39,0.18,1177.52,512,21,1000448,6.11,5,4,5,4,1024,0,A
0.01,0.06,7.5,512,16,4096,0.03,8,4,1,128,64,0,B
0.01,0.06,7.5,512,16,4096,0.03,8,4,0,0,0,0,F
0.01,0.06,7.5,512,16,4096,0.03,8,4,0,0,0,0,D
0.01,0.06,7.5,512,16,4096,0.03,8,4,0,0,0,0,B
0.01,0.06,33.82,512,21,4096,0.03,5,4,1,128,64,0,B
0.01,0.06,33.82,512,21,4096,0.03,5,4,0,0,0,0,F
0.01,0.06,33.82,512,21,4096,0.03,5,4,0,0,0,0,D
0.01,0.06,33.82,512,21,4096,0.03,5,4,0,0,0,0,B
0.01,0.08,10.92,512,16,4096,0.03,8,4,1,128,64,0,B
0.01,0.08,10.92,512,16,4096,0.03,8,4,0,0,0,0,F
0.01,0.08,10.92,512,16,4096,0.03,8,4,0,0,0,0,D
0.01,0.08,10.92,512,16,4096,0.03,8,4,0,0,0,0,B
0.03,0.12,89.05,512,21,4096,0.03,5,4,1,128,64,0,B
0.03,0.12,89.05,512,21,4096,0.03,5,4,0,0,0,0,F
0.03,0.12,89.05,512,21,4096,0.03,5,4,0,0,0,0,D
0.03,0.12,89.05,512,21,4096,0.03,5,4,0,0,0,0,B
0.01,0.08,11.2,512,16,4096,0.03,8,4,1,128,64,0,B
0.01,0.08,11.2,512,16,4096,0.03,8,4,0,0,0,0,F
